,OCR,HTT,targets,SC OCR,brand_name
28,am alverde NATURKOSMETIN MEN SENSITIV SETER SHAVE BALSAU Zertitiierte Naturkosmetit,Alverde Sensitiv After Shave Balsam,44,am alverde men NATURKOSMETIN MEN SENSITIV SETER SHAVE BALSAU Zertitiierte Naturkosmetit,alverde
29,Secktit livier CRÉME CORPS Ultra Nourrissante (Poacr Séches & Sensda SANS PARABEN A l'Huile d'Olive,"Le Petit Olivier Crème corps ultra nourrissante, Peaux sèches & sensibles",27,Secktit livier CREME CORPS Ultra Nourrissante (Poacr Seches & Sensda SANS PARABEN A lHuile dOlive,le-petit-olivier
30,Carrefour ARSA ILTRA CRTEE TIEARR,Carrefour Liquide  Vaisselle  pamplemousse,6,carrefour kids ARSA ILTRA CRTEE TIEARR,carrefour
31,Sanex dermo kids Bodywash & Foam Bath 2 Hypoallergenic © Paediatrician Approved 0 pH Balanced Head to Toe Wash Keeps skin healthy,Sanex nan,12,"
sanex dermo kids Bodywash & Foam Bath 2 Hypoallergenic (c) Paediatrician Approved 0 pH Balanced Head to Toe Wash Keeps skin healthy",sanex
32,Cien 6 en l docour de tart doir -9PF S - Blc (ovet Toet one Inpodecioos cnqées • Rider edutes •Hdrelaticn 20*,Cien BB Cream 6 en 1 clair,9, cien 6 en l docour de taft doir 9PF S Blc (ovet Toet one Inpodecioos cnqees * Rider edutes *Hdrelaticn 20*,cien
33,"DESSANGE NOUVEAU opres shampooing RÉPARATEUR SANS SILICONE oinionuses owliqns cheveux abimés, dévitalisés, affinés • seve restructuraral tra-soytuse et légére",Dessange Après-shampooing réparateur Sublime Restructure ,57,"
dessange NOUVEAU opres shampooing REPARATEUR SANS SILICONE oinionuses owliqns cheveux abimes, devitalises, affines * elseve restructuraral trasoytuse et legere",dessange
34,Anti-Trans ilran Lu trockenäl NIvEA pureive Sensitiv 4 T-p,Nivea pure & sensitive,1,AntiTrans ilran Lu trockenal nivea pureive Sensitiv 4 Tp,nivea
35,SOFT DENTALYSS White (0) (S,Carrefour nan,6,SOFT DENTALYSS White (0) (S,carrefour
36,Vuelle DOP GEL COIFFANT Aux vitamines PaToN & extra-fortt,Dop 150ML Gel Fixation Extra Forte Vivelle Dop,29,Vuelle  dop GEL COIFFANT Aux vitamines PaToN & extrafortt,dop
37,100% BOUTEILIE LOT 400% RECYCL E PE PERSIL Au sai Au savon de Marseille AMANDE DOUCE & FLEUR DE LIN PEEO SCASIBLE:,Persil Persil Lessive Liquide Amande Douce 2l 40 Lavages Lot de 2,51,"100% BOUTEILIE LOT 400% RECYCL E PE 
persil Au sai Au savon de Marseille AMANDE DOUCE & FLEUR DE LIN PEEO SCASIBLE:",persil
38,"fdiO Signal, NOUVELLE PORMUL SOINFRAICHEUR AQUAMENTHE • AVEC BAIN DE BOUCHE ACTIVE CLEAN",Signal Signal Dentifrice Soin Fraîcheur Aquamenthe 75ml,2,fdiO  signal NOUVELLE PORMUL SOINFRAICHEUR AQUAMENTHE * AVEC BAIN DE BOUCHE skinactive CLEAN,signal
39,Matt,Nuxe gelée de douche parfumée,62,Matt,nuxe
40,STARNEALTHCADE SL C/ Romo Deten 8 Ertres.el Dacoo Ameris F 436044 672521 1220 :OVO vsa L07,Carrefour Eau précieuse lotion,6,STARNEALTHCADE SL C/ Romo Deten 8 Ertres.el Dacoo Ameris F 436044 672521 1220 :OVO vsa L07,carrefour
41,compressé compressé Rexona OFFRE musc tacteu saturele LOT cerfam loogee durée x2 48H desdonre 101 *esdoro,Rexona REXONA Déodorant Femme Spray Musc Compressé 100ml Lot de 2,15, gold compresse  gold compresse rexona men OFFRE musc tacteu saturele LOT cerfam loogee duree x2 48H desdonre 101 *esdoro,rexona
42,M® YVES OCHER T HYDRATANT PPEKA SANT MOISTURIZING 313W83J AOMING FIRMING LOTIOI 27L'9- 4007- l vontypt A0O8 • 5d802 ARGNEI830D3 - 3801 003,Yves  rocher Lait hydratant fermeté 2 en 1,4,M YVES OCHER T HYDRATANT PPEKA SANT MOISTURIZING 313W83J AOMING FIRMING LOTIOI 27L9 4007 l vontypt A0O8 * 5d802 ARGNEI830D3 3801 003,yves-rocher
43,"GARNICR Ultra DOUX CORPS LAIT RÉPARATEUR TRESORS DE MIEL PEAUX EXTRA SÈCHES NON GRAS, NON COLLANT","Garnier, Ultra doux Lait réparateur",5,"
garnier Ultra DOUX CORPS LAIT REPARATEUR TRESORS DE MIEL PEAUX EXTRA SECHES NON GRAS, NON COLLANT",garnier
44,"St. 70 avenue des champs-élysées F-75008 Paris, dist, by sephora usa san francisco CA 94105. made in China. Caenano KnTan 3 378872 0471311 4301C",Sephora nan,35,"St. 70 
avene des champselysees F75008 Paris, dist, by 
sephora usa san francisco CA 94105. made in China. Caenano KnTan 3 378872 0471311 4301C",sephora
45,MONOPRIX CREME MAIN REPARATRICA DEAUX TRES SECHES BEURRE DE KARITÉ HUILE D'ARGAN NEMRENEZ YOS MAINS EN MUN,Monoprix Crème mains réparatrice peaux très sèches,47,"
monoprix CREME MAIN REPARATRICA DEAUX TRES SECHES BEURRE DE KARITE HUILE DARGAN NEMRENEZ YOS MAINS EN MUN",monoprix
46,PARYUM CARACTERE BRUT; PARIS 1965 STICK LARGE MUSK DÉODORANT 48H SANS ALCOOL,Brut Brut Musk Déodorant Homme Stick Antibactérien Large Original 48h Sans Alcool,46,"PARYUM CARACTERE 
brut PARIS 1965 STICK LARGE MUSK deodorant 48H SANS ALCOOL",brut
47,INNOVATION NART PROT LTIO) DOL OCH NIE GRALE 48 100P 2o 3 302 4 a0ti.e 50x0 Fraîcheuf propre SANS ALCO0,Narta 5 protections efficacité intégrale 48h,48,"INNOVATION 
narta PROT LTIO) DOL OCH nivea GRALE 48 100P 2o 3 302 4 a0ti.e 50x0 Fraicheuf propre SANS ALCO0",narta
48,OFFRE LOT DE 2 AXC DIO D YOWIAT 2x BLACK REPRESRINO PHAGRANCES,Axe Axe Gel Douche Homme Black 12h Parfum Frais 2x250ml,0,OFFRE LOT DE 2 AXC DIO D YOWIAT 2x  black REPRESRINO PHAGRANCES,axe
49,OFFRE LOT DE 2 AXE COLLISION 2x cearets A COGDEE SCENT ROOSWARH FRESH CLASH,Axe AXE Gel Douche Collision Cuir & Cookies Lot,0,OFFRE LOT DE 2 axe COLLISION 2x cearets A COGDEE SCENT ROOSWARH FRESH CLASH,axe
50,"mie Signal WHITE NOW SUPERPURE thee abeashad -BLANCHEUR INSTANTANEE* treo rer + ANTI-TACHE ANTI-TACHES FUMEURS**, CAFE & VIN","Signal, White Now Signal White Now Dentifrice Super Pure",2,"mie  signal WHITE NOW SUPERPURE thee abeashad BLANCHEUR INSTANTANEE* treo rer + ANTITACHE ANTITACHES FUMEURS**, CAFE & VIN",signal
51,Sof VASELINA NEUTRA HIDRATANTE Retiene la humedad de la piel 8/3180,Carrefour Vaselina hidratante,6,Sof VASELINA neutralia HIDRATANTE Retiene la humedad de la piel 8/3180,carrefour
52,"StzOZ-O ps1013g Auewuad Beiersd 5v Juopsialag jo u) 831=6 ua!m • SanqweH WOD'VEAIN*MA 8772.177 kzuag 'oiauont '1oojpun *ojjauonAxoipAH *wnjadd IOuOJIN JAWDuuI) unisaubow 'pIpy Ouud 'SajDIDaIS wunuiwunjy loubsapopiA icrocrist 01ay 'unpinbn wnuun Icohoi (Eucerit®), Paraffin, Panthenol, Magnesium 70 80'8 E0101 AQUQ",Nivea Nivea Creme,1,"StzOZO ps1013g Auewuad beiersdorf 5v Juopsialag jo u) 831=6 ua!m * SanqweH WODVEAIN*MA 8772.177 kzuag oiauont 1oojpun *ojjauonAxoipAH *wnjadd IOuOJIN JAWDuuI) unisaubow pIpy Ouud SajDIDaIS wunuiwunjy loubsapopiA icrocrist 01ay unpinbn wnuun Icohoi (Eucerit), Paraffin, Panthenol, Magnesium 70 808 E0101 AQUQ",nivea
53,NIVEA MEN SENSITIVE FACE WASH wves 0% mcoued,Nivea Nivea Men Sensitive Face Wash,1,nivea MEN SENSITIVE FACE WASH wves 0% mcoued,nivea
54,P YVES ROCHES LAIT RELIPCAN xtre Aine NUTRITION NOURISHING LIPID-REPLENISAIN| Oat extrect fery dry sot oret bee•v § e390 ml- 13113 CORPS • BODY,Yves Rocher Lait relipidant Nutrition,4,P YVES ROCHES LAIT RELIPCAN xtre Aine NUTRITION NOURISHING LIPIDREPLENISAIN| Oat extrect fery dry sot oret bee*v SS e390 ml 13113 CORPS * BODY,yves-rocher
55,"MAXI FORMAT GARNICR SKINACTIVE NOUVELLE FOSS Solution Micellaire Tout en PRAUX RENGULES NEETOTE - DEMAQUILLE + APAISE aans rincage Vaato, you Mvres - Sans ourta Mérnce cotste Tonn S04 Oumutooo Qel inco0oco 0e/ M3xi fornat E7t0e",Garnier Solution micellaire tout en 1,5,"MAXI FORMAT 
garnier skinactive NOUVELLE FOSS Solution Micellaire Tout en PRAUX RENGULES NEETOTE DEMAQUILLE + APAISE aans rincage Vaato, you Mvres Sans ourta Mernce cotste Tonn S04 Oumutooo Qel inco0oco 0e/ M3xi fornat E7t0e",garnier
56,(35 ele veoos X,"Balea,Balea Men,dm Ultra Sensitive Rasiergel",14,(35 ele veoos X,balea
57,03300 Cien SPRAY COIFFANT COULEURS COEHEUA,Cien Spray coiffant couleurs,9,03300  cien SPRAY COIFFANT COULEURS COEHEUA,cien
58,Cien 30 bandes DE CIRE FROIDE CORPS ET MAILLOT A baso d hple dosgae 6 d vtomon E dé coco ENCATEES +4Pvi Sonteur Fruits dos Bois,cien 30 bandes de cire froide corps et maillot,9, cien 30 bandes DE CIRE FROIDE CORPS ET MAILLOT A baso d hple dosgae 6 d vtomon E de coco ENCATEES +4Pvi Sonteur fructis dos Bois,cien
59,"THERMALE Avène Fluide démaquillant 3 en 1 Nettoie, démaquille, apaise Viogo et youx OFFERT DONTOUNAVENACA Tovtes peoux sensibles, MEr eR a AL.0",Avène Fluide démaquillant 3 en 1,28,"THERMALE 
avene Fluide demaquillant 3 en 1 Nettoie, demaquille, apaise Viogo et youx OFFERT DONTOUNAVENACA Tovtes peoux sensibles, MEr eR a AL.0",avene
60,testées Voie baby lingettes Douceur a l cau nettoyante AU de coton x24 0% 0o suchan,Auchan Lingettes douceur à l'eau nettoyante,26,testees Voie baby lingettes Douceur a l cau nettoyante AU de coton x24 0% 0o  auchan,auchan
61,Liquide Vaisselle Domme-hai. in Decrossont,Leader Price Liquide vaiselle,38,Liquide Vaisselle Dommehai. in Decrossont,leader-price
62,"KLORANE Shampooing à la quinine et aux vitamines | STIMULANT ET FORTIFIANT chute de cheveax, chevecr teliquls n Prcbete Shampco with quinine and Bitae AEETALIENO ANO STRENSTHE a hc lns frents 400 ml e PARIS 134f.oz","Klorane,Laboratoires Klorane Shampooing à la quinine et aux vitamines B",45," klorane Shampooing a la quinine et aux vitamines | STIMULANT ET FORTIFIANT chute de cheveax, chevecr teliquls n Prcbete Shampco with quinine and Bitae AEETALIENO ANO STRENSTHE a hc lns frents 400 ml e PARIS 134f.oz",klorane
63,WVELEDA Depuis 1921 Bébé CALENDULA Huile de Massage Douceur éved et soin Le Soin Natorel Ruthetioo,Weleda Weleda Bébé Calendula - Huile de Massage Douceur ,22,"
weleda Depuis 1921 Bebe CALENDULA Huile de Massage Douceur eved et soin Le Soin Natorel Ruthetioo",weleda
64,"Grlce à sa focnn lo stick tavie to richin cn busle de jejoba bio; Il ororian cnecckce vos lavres desmo nrit poe lhrees extéritster natsrelles, 5AhXx Rasles et cires S007 Corigiaes Sana ciie t sthmiotcale PROOKIT DE SOIES BES LÉVRES bio NGRÉDIENTS STICK LEVRES LRFEZOF jojoba HYDRATE S LEVRES OULE DE 0A AGROCUTUC ooQur 1308172021 CEEC CEO aeé por: Cooperatire 9 Eeseigne c4,8g",U Stick lèvres Jojoba,30,"Grlce a sa focnn lo stick dentavie to richin cn busle de jejoba bio; Il ororian cnecckce vos lavres desmo nrit poe lhrees exteritster natsrelles, 5AhXx Rasles et cires S007 Corigiaes  isana ciie t sthmiotcale PROOKIT DE SOIES BES LEVRES u bio NGREDIENTS STICK LEVRES LRFEZOF jojoba HYDRATE S LEVRES OULE DE 0A AGROCUTUC ooQur 1308172021 CEEC CEO aee por: Cooperatire 9 Eeseigne c4,8g",u
65,Dove O NOUVEAU aicool ant-innitation original (600026 48h A) ón colcss hydrarante,Dove Dove Déodorant Femme Stick Antibactérien Bille,3,"
dove O NOUVEAU aicool antinnitation original (600026 48h A) on colcss hydrarante",dove
66,compressed•compresse Camoras EITTEA FOR YOR • SCTEE FON TIE PUANC: NELLES POOR VOGT • MERLERN POOR LA PUNCTE YOU OFFRE AXE YOU LOT 0F889RA 484 FRESH x2,Axe AXE Déodorant Anti Bactérien You Spray Compressé Lot de 2x100ml,0,compressed*compresse Camoras EITTEA FOR YOR * SCTEE FON TIE PUANC: NELLES POOR VOGT * MERLERN POOR LA PUNCTE YOU OFFRE axe YOU LOT 0F889RA 484 FRESH x2,axe
67,LSEVE HULE traoralae 6 HUELES DE FEEURS RARES ON SUDLIMATEUREOF MAT IAGEUN VITSILITE PRODI MATIÈRE SOURLE 1 FINI SA1,"L'oréal,L'Oréal Paris,Elseve Huile extraordinaire",10,elseve HULE traoralae 6 HUELES DE FEEURS RARES ON SUDLIMATEUREOF MAT IAGEUN VITSILITE PRODI MATIERE SOURLE 1 FINI SA1,l-oreal
68,RNIER AMBRE SOLAIRE Spray protecteur hydratation 12h HAUTE Application express 30 Enrichi en acef hydratant d'orgine wigitale NON GRAS - RESISTE À L'EAY INORECTON POTOSTALE ()0,"Garnier,Ambre Solaire Ambre solaire Spray Protecteur hydratation 12H",5,"
garnier AMBRE SOLAIRE Spray protecteur hydratation 12h HAUTE Application express 30 Enrichi en acef hydratant dorgine wigitale NON GRAS RESISTE A LEAY INORECTON POTOSTALE ()0",garnier
69,Dove,Dove Dove Crème Corps Pot Rosace x1,3,"
dove",dove
70,FORMULE L'ORÉAL ELSEVE COLOR-VIVE 21-1 SHAMPOOING SOM E5 D Ce COOO,"L'Oréal Paris,L'Oréal,Elseve Formule 2 en 1 Elseve Color-Vive Shampooing soin",17,FORMULE loreal elseve COLORVIVE 211 SHAMPOOING SOM E5 D Ce COOO,l-oreal-paris
71,"S DIADERMINE SOIN ESSENTIEL LAIT DÉMAQUILLANT EXPRESS 3 EN 1 Visage, Yeux et Lèvres TOUS TYPES DE PEAUX Démaquille parfaitement PROVITAMINE B5",Diadermine Lait demaquillant express tout type de peau,42,"S 
diadermine SOIN ESSENTIEL LAIT DEMAQUILLANT EXPRESS 3 EN 1 Visage, Yeux et Levres TOUS TYPES DE PEAUX Demaquille parfaitement PROVITAMINE B5",diadermine
72,Schwarzkopf tait CIRE WAX BRILLANCE 2 CIRE,"Schwarzkopf,Taft Cire wax brillance",13,"
schwarzkopf taft CIRE WAX BRILLANCE 2 CIRE",schwarzkopf
73,by HOMME GEL RASER PEAUX SENSIBLES FORMULE HAUTE PROTECTION AFETIAT2R › GLISSE OPTIMALE * PEAU PRÉSERVÉE & HYDRATE LLUTE LOUS CONTIOLE DERMAIGAE,U Gel a raser,30,by HOMME GEL RASER PEAUX SENSIBLES FORMULE HAUTE PROTECTION AFETIAT2R > gliss OPTIMALE * PEAU PRESERVEE & HYDRATE LLUTE LOUS CONTIOLE DERMAIGAE,u
74,"< L 0264L 808S00,",NIVEA Q10POWER,1,"< L 0264L 808S00,",nivea
75,NOUVEAU LE PETL MARSELLIAN SHAMPOOING Brillance & Volume Vinaigre aux 3 fleurs & Pamplemousse rese CHEVEUX TERNES FINS Apporte éctat & légéreté ES,Le Petit Marseillais Shampooing Brillance & Volume,7,NOUVEAU LE PETL MARSELLIAN SHAMPOOING Brillance & Volume Vinaigre aux 3 fleurs & Pamplemousse rese CHEVEUX TERNES FINS Apporte ectat & legerete ES,le-petit-marseillais
76,"NIVEA MEN SOIN BARBE COURTE + VISACE HORTE BOORO + GEZICHTSVERZORGING AOOUCIT LA BARSE • PRENO SOIN DE LA PEAU, VERZACHT DE BAARO + VERZORST DE HUIO 5U mL",Nivea Men Soin barbe courte + visage,34,"nivea MEN SOIN BARBE COURTE + VISACE HORTE BOORO + GEZICHTSVERZORGING AOOUCIT LA BARSE * PRENO SOIN DE LA PEAU, VERZACHT DE BAARO + VERZORST DE HUIO 5U mL",nivea-men
77,NOUVEAU GARNIER Ultra DOUX CORPS BEURRE REPARATEUR ARAIX TRESORS DE MIEL PEAUX EXTRA SECHES,"Garnier,Ultra doux Ultra doux Corps - Beurre réparateur Trésors de Miel",5,NOUVEAU  garnier Ultra DOUX CORPS BEURRE REPARATEUR ARAIX TRESORS DE MIEL PEAUX EXTRA SECHES,garnier
78,BRUT MS PRI RIS 1965 BRU amuq k -onod D bas a0 U DE TOILETTE* POR MEN,Brut Brut Eau De Toilette Original Champagne,46,"
brut MS PRI RIS 1965  brut amuq k onod D bas a0 U DE TOILETTE* POR MEN",brut
79,Shampooing Shampoo Cheveux secs Droog haar Capelli secchi 500 ml,Carrefour Shampooing Cheveux secs,6,Shampooing Shampoo Cheveux secs Droog haar Capelli secchi 500 ml,carrefour
